"道具ID："	"物品名称20ABCD0E装备A=第几套B=职业（0通用1丐帮2少林3全真）C=套装（0无属性1阴2阳3内4外）D=品质E=装备subType700101开始是宝石"	"图标ID。填入icon的资源的名称"	"掉落模型ID"	"分类。1=货币，2=装备,3=消耗品，4=宝物，5=礼包，6=宝石，7=任务,8=英雄,9=材料"	"子类型，标识道具子类对于装备，1-武器，2-头盔，3-衣服，4-护肩，5-腰带，6-裤子，7-靴子，8-项链，9-护腕，10-左戒指，11-右戒指，12-饰品对于消耗品1=一般玩法消耗（用于跟道具类型无关的消耗），2=强化药剂，3=鉴定符,4=龙经验丹，5=自动使用血瓶，6=经验丹，7=喇叭8升级丹9=迷城重置符10=大血包11=大魔包12大魔瓶13尊爵体验卡，14=合成材料，15=合成符石，16=时装碎片，17=坐骑碎片19=宠物碎片20=秘籍升阶道具21=秘籍技能格开启道具,22=华山论剑卷轴,23单人首领卷轴=,24=叱咤王府卷轴,25=海上洪涛卷轴,26=千刃绝顶卷轴,27=大军西征卷轴,28=柔然入寇卷轴,29=未鉴定宝图,29=已鉴定宝图，31=再入琅琊卷轴32=280组队本33=300组队本对于宝物，1=坐骑10=宠物11=背旗12=法阵对于宝石，数字表示宝石种类，共9种对于礼包：1=普通礼包，2=时装包对于英雄：1.英雄碎片2.根骨丹3.助战相关道具4.武魂相关道具5.秘籍相关道具."	"使用等级"	"品质。0=白色，1=绿色，2=蓝色，3=紫色，4=金色，5=橙色，6=红色"	"职业限制。1=丐帮可用，2=少林可用，4=全真可用。填入和值"	"物品规则读ItemRuleConfig里的定义必填项"	"出售价格"	"叠加数量叠加多个与可计时冲突，警告！"	"拾取方式。0=手动拾取，1=自动拾取，2=自动拾取即使用，3=拾取进公会仓库，4=购买并自动使用（时装礼包）"	"物品描述"	"物品使用脚本"	"物品使用条件，[type,param0,param1]，type=1物品ID，物品数量type=2金币，所有金币，充值金币"	"特定场景中使用。0=副本，1=野外地图，2=主城"	"物品寿命（分）与ItemRuleConfig表中的计时规则配合生效"	"掉落拾取时是否有成就提示"	"是否记录log"	"是否批量使用"	"是否连续使用"	"是否快捷使用"	"装备显示"	"装备显示"	"装备显示"	"特殊显示"	"使用时打开功能界面"	"使用性别0=通用1=男2=女"	"获得途径"	""	""	""	""	
"300165"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"3"	"0"	"1"	"0"	"巨量的帮派贡献包，帮派贡献包可在帮派商店中兑换商品\n[green]联盟仓库奖励数量：60[white]"	""	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300401"	"首领宝箱"	"icon_item_png,baoxiang1_1"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"9999"	"0"	"在帮派boss中征战的证明，内含帮派贡献包\n[green]帮派贡献包可在帮派boss商店中兑换战龙坐骑[white]"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300402"	"首领宝箱"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"9999"	"0"	"在帮派boss中征战的证明，内含帮派贡献包\n[green]帮派贡献包可在帮派boss商店中兑换战龙坐骑[white]"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300403"	"仓库宝箱"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"9999"	"0"	""	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300501"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss黑曜龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300502"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss黑曜龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300503"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss黑曜龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300511"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss剑齿龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300512"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss剑齿龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300513"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss剑齿龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300521"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss雷龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300522"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss雷龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300523"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss雷龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300531"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss毒龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300532"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss毒龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300533"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss毒龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300541"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss冰霜骨龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300542"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss冰霜骨龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300543"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss冰霜骨龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300551"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss魇影龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300552"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss魇影龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"300553"	"帮派贡献包未使用"	"icon_item_png,icon_gongxiandu"	"100013"	"5"	"1"	"1"	"2"	"7"	"2"	"10000"	"999"	"0"	"帮派boss魇影龙挑战胜利所得的参与奖励宝箱"	"OnItemUse_UseGiftBag"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	""	""	""	""	""	
"310010"	"世界boss冠军宝箱"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"5"	"7"	"3"	"100"	"100"	"1"	"奖励给在世界boss对抗战中表现最出色的勇士，可以开出法宝碎片和稀有道具"	"OnItemUse_UseTreasureBox,2310010,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"世界boss"	""	""	""	""	
"310020"	"世界boss亚军宝箱"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"奖励给在世界boss对抗战中贡献第2名的勇士，可以开出法宝碎片和稀有道具"	"OnItemUse_UseTreasureBox,2310020,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"世界boss"	""	""	""	""	
"310030"	"世界boss季军宝箱"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"奖励给在世界boss对抗战中贡献第3名的勇士，可以开出法宝碎片和稀有道具"	"OnItemUse_UseTreasureBox,2310030,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"世界boss"	""	""	""	""	
"310040"	"世界boss精英宝箱"	"icon_item_png,baoxiang1_1"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"奖励给在世界boss对抗战中表现出色的勇士，可以开出法宝碎片和稀有道具"	"OnItemUse_UseTreasureBox,2310040,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"世界boss"	""	""	""	""	
"310050"	"世界boss勇士宝箱"	"icon_item_png,baoxiang1_1"	"100013"	"5"	"1"	"1"	"3"	"7"	"3"	"100"	"100"	"1"	"所有参与对抗世界boss的勇士均可获得宝箱，可以开出法宝碎片和稀有道具"	"OnItemUse_UseTreasureBox,2310050,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"世界boss"	""	""	""	""	
"310100"	"世界boss击杀奖励"	"icon_item_png,baoxiang1_2"	"100013"	"5"	"1"	"1"	"4"	"7"	"3"	"100"	"100"	"1"	"击杀世界boss后获得的宝箱，可以开出法宝碎片和稀有道具"	"OnItemUse_UseTreasureBox,2310100,1,0,0"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"世界boss"	""	""	""	""	
"400001"	"历练丹"	"icon_item1,item_liliandan"	"100004"	"3"	"1"	"1"	"3"	"7"	"3"	"100"	"9999"	"1"	"使用后增加1000历练值！"	"OnItemUse_AddExpPoint,1000"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"使用后增加50000历练值！"	""	""	""	""	
"400024"	"星魄"	"icon_item1,item_xinghun"	"100011"	"7"	"1"	"1"	"2"	"7"	"3"	"5000"	"99999"	"1"	"古墓迷宫活动击杀怪物和敌对玩家可获得，游戏结束后会自动兑换为星魂"	""	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"古墓迷宫活动击杀怪物和敌对玩家可获得，活动结束后会兑换成星魂"	""	""	""	""	
"400100"	"VIP经验"	"icon_item1,icon_vip"	"100013"	"3"	"13"	"1"	"4"	"7"	"3"	"100"	"9999"	"1"	"1000VIP经验"	"OnItemUse_AddVipExp,1000"	""	""	""	""	"1"	"1"	"1"	"1"	""	""	""	""	""	""	"使用后增加50000历练值！"	""	""	""	""	
"400101"	"VIP1玉佩"	"item_equip,hufu1"	"100013"	"3"	"13"	"1"	"4"	"7"	"3"	"100"	"9999"	"1"	"使用后增加500VIP经验！"	"OnItemUse_AddVipExp,500"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"使用后增加50000历练值！"	""	""	""	""	
"400102"	"VIP2玉佩"	"item_equip,hufu1"	"100013"	"3"	"13"	"1"	"4"	"7"	"3"	"100"	"9999"	"1"	"使用后增加2000VIP经验！"	"OnItemUse_AddVipExp,2000"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"使用后增加50000历练值！"	""	""	""	""	
"400103"	"VIP3玉佩"	"item_equip,hufu1"	"100013"	"3"	"13"	"1"	"4"	"7"	"3"	"100"	"9999"	"1"	"使用后增加5000VIP经验！"	"OnItemUse_AddVipExp,5000"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"使用后增加50000历练值！"	""	""	""	""	
"400104"	"VIP4玉佩"	"item_equip,hufu1"	"100013"	"3"	"13"	"1"	"4"	"7"	"3"	"100"	"9999"	"1"	"使用后增加10000VIP经验！"	"OnItemUse_AddVipExp,10000"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"使用后增加50000历练值！"	""	""	""	""	
"400105"	"VIP5玉佩"	"item_equip,hufu1"	"100013"	"3"	"13"	"1"	"4"	"7"	"3"	"100"	"9999"	"1"	"使用后增加20000VIP经验！"	"OnItemUse_AddVipExp,20000"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"使用后增加50000历练值！"	""	""	""	""	
"400106"	"VIP6玉佩"	"item_equip,hufu1"	"100013"	"3"	"13"	"1"	"4"	"7"	"3"	"100"	"9999"	"1"	"使用后增加50000VIP经验！"	"OnItemUse_AddVipExp,50000"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"使用后增加50000历练值！"	""	""	""	""	
"400107"	"VIP7玉佩"	"item_equip,hufu1"	"100013"	"3"	"13"	"1"	"4"	"7"	"3"	"100"	"9999"	"1"	"使用后增加100000VIP经验！"	"OnItemUse_AddVipExp,100000"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"使用后增加50000历练值！"	""	""	""	""	
"400108"	"VIP8玉佩"	"item_equip,hufu1"	"100013"	"3"	"13"	"1"	"4"	"7"	"3"	"100"	"9999"	"1"	"使用后增加200000VIP经验！"	"OnItemUse_AddVipExp,200000"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"使用后增加50000历练值！"	""	""	""	""	
"400109"	"VIP9玉佩"	"item_equip,hufu1"	"100013"	"3"	"13"	"1"	"4"	"7"	"3"	"100"	"9999"	"1"	"使用后增加500000VIP经验！"	"OnItemUse_AddVipExp,500000"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"使用后增加50000历练值！"	""	""	""	""	
"400110"	"VIP10玉佩"	"item_equip,hufu1"	"100013"	"3"	"13"	"1"	"4"	"7"	"3"	"100"	"9999"	"1"	"使用后增加1000000VIP经验！"	"OnItemUse_AddVipExp,1000000"	""	""	""	""	"1"	"1"	"0"	"0"	""	""	""	""	""	""	"使用后增加50000历练值！"	""	""	""	""	
"410001"	"生命之球"	"item,huogong001"	"100014"	"4"	"2"	"1"	"0"	"7"	"3"	"100"	"1"	"2"	""	"OnItemUse_AddHPMP,200,300"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"410002"	"生命之球"	"item,huogong001"	"100014"	"4"	"2"	"1"	"0"	"7"	"3"	"100"	"1"	"2"	""	"OnItemUse_AddHPMP,0.2,0.2,0.2,0.2"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"410003"	"生命之球"	"item,huogong001"	"100014"	"4"	"2"	"1"	"0"	"7"	"3"	"100"	"1"	"2"	""	"OnItemUse_AddHPMP,0.4,0.4,0.2,0.2"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"410004"	"生命之球"	"item,huogong001"	"100014"	"4"	"2"	"1"	"0"	"7"	"3"	"100"	"1"	"2"	""	"OnItemUse_AddHPMP,0.6,0.6,0.2,0.2"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"410005"	"生命之球"	"item,huogong001"	"100014"	"4"	"2"	"1"	"0"	"7"	"3"	"100"	"1"	"2"	""	"OnItemUse_AddHPMP,0.8,0.8,0.2,0.2"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"410006"	"生命之球"	"item,huogong001"	"100014"	"4"	"2"	"1"	"0"	"7"	"3"	"100"	"1"	"2"	""	"OnItemUse_AddHPMP,1.0,1.0,0.2,0.2"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"410007"	"活力球"	"item,huogong001"	"100014"	"4"	"2"	"1"	"0"	"7"	"3"	"100"	"1"	"2"	""	"OnItemUse_AddHPMP,1.0,1.0,1.0,1.0"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"410008"	"生命之球"	"item,huogong001"	"100014"	"4"	"2"	"1"	"0"	"7"	"3"	"100"	"1"	"2"	""	"OnItemUse_AddHPMP,0.6,0.6,0.2,0.2"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	""	""	""	""	""	
"410009"	"一星经验球"	"item,huogong001"	"100007"	"4"	"2"	"1"	"1"	"7"	"3"	"100"	"1"	"2"	"通天塔经验球，获取自动使用"	"OnItemUse_AddExp,5000,5000"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410010"	"二星经验球"	"item,huogong001"	"100007"	"4"	"2"	"1"	"2"	"7"	"3"	"100"	"1"	"2"	"通天塔经验球，获取自动使用"	"OnItemUse_AddExp,20000,20000"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410011"	"三星经验球"	"item,huogong001"	"100007"	"4"	"2"	"1"	"3"	"7"	"3"	"100"	"1"	"2"	"通天塔经验球，获取自动使用"	"OnItemUse_AddExp,40000,40000"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410012"	"四星经验球"	"item,huogong001"	"100007"	"4"	"2"	"1"	"4"	"7"	"3"	"100"	"1"	"2"	"通天塔经验球，获取自动使用"	"OnItemUse_AddExp,80000,80000"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410013"	"五星经验球"	"item,huogong001"	"100007"	"4"	"2"	"1"	"4"	"7"	"3"	"100"	"1"	"2"	"通天塔经验球，获取自动使用"	"OnItemUse_AddExp,200000,200000"	""	""	""	""	"1"	"0"	"0"	"1"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410603"	"低级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"2"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,11111,11111"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410604"	"高级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"4"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,333333,333333"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410605"	"高级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"4"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,333333,333333"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410606"	"高级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"4"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,333333,333333"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410607"	"中级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"3"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,27777,27777"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410608"	"中级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"3"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,27777,27777"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410609"	"中级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"3"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,27777,27777"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410803"	"低级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"2"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,16666,16666"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410804"	"高级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"4"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,500000,500000"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410805"	"高级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"4"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,500000,500000"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410806"	"高级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"4"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,500000,500000"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410807"	"中级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"3"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,41666,41666"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410808"	"中级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"3"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,41666,41666"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"410809"	"中级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"3"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,41666,41666"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"411003"	"低级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"2"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,55555,55555"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"411004"	"高级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"4"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,1666666,1666666"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"411005"	"高级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"4"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,1666666,1666666"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"411006"	"高级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"4"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,1666666,1666666"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"411007"	"中级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"3"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,138888,138888"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"411008"	"中级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"3"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,138888,138888"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"411009"	"中级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"3"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,138888,138888"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"411203"	"低级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"2"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,166666,166666"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
"411204"	"高级经验丹"	"item,huogong001"	"100007"	"3"	"6"	"1"	"4"	"7"	"3"	"100"	"1"	"2"	"经验球，获取自动使用"	"OnItemUse_AddExp,5000000,5000000"	""	""	""	""	"1"	"0"	"0"	"0"	""	""	""	""	""	""	"通天塔经验球，获取自动使用"	""	""	""	""	
