"ID(玩家等级)"	"元宝领取奖励比例"	"免费领取奖励比例"	"消耗道具ID/每日消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（跨服副本40级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（经验本46级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（坐骑本52级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（单人首领60级开启）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（环式任务60级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（铜币本70级开放）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"消耗道具ID/消耗元宝数量/奖励道具ID/单次数量/每日次数/VIP次数加成（）"	"图标/奖励名称（跨服副本）"	"图标/奖励名称（经验本）"	"图标/奖励名称（坐骑本）"	"图标/奖励名称（单人首领）"	"图标/奖励名称（环式任务）"	"图标/奖励名称（铜币本）"	"图标/奖励名称（点石成金）"	"图标/奖励名称（魔王本）"	"图标/奖励名称（暗黑擂台）"	"图标/奖励名称（体力）"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	"图标/奖励名称"	""	""	""	""	""	""	""	""	""	""	""	""	
"100"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680303,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680503,2,1,0"	"100003,50,680603,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"101"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680303,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680503,2,1,0"	"100003,50,680603,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"102"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680303,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680503,2,1,0"	"100003,50,680603,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"103"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680303,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680503,2,1,0"	"100003,50,680603,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"104"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680303,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680503,2,1,0"	"100003,50,680603,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"105"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680603,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"106"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680603,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"107"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680603,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"108"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680603,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"109"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680603,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"110"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"111"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"112"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"113"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"114"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"115"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"116"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"117"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"118"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"119"	"1.000000"	"0.500000"	"100003,80,680102,2,1,0"	"100003,50,680203,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680402,2,1,0"	"100003,120,680504,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"120"	"1.000000"	"0.500000"	"100003,80,680103,2,1,0"	"100003,50,680204,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680403,2,1,0"	"100003,120,680505,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"121"	"1.000000"	"0.500000"	"100003,80,680103,2,1,0"	"100003,50,680204,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680403,2,1,0"	"100003,120,680505,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
"122"	"1.000000"	"0.500000"	"100003,80,680103,2,1,0"	"100003,50,680204,2,1,0"	"100003,40,680304,2,1,0"	"100003,80,680403,2,1,0"	"100003,120,680505,2,1,0"	"100003,50,680604,2,1,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"0,0,0,0,0,0"	"ui_qiandao_png,kuafufuben"	"ui_qiandao_png,jingyanfuben"	"ui_qiandao_png,zuoqifuben"	"ui_qiandao_png,huanshifuben"	"ui_qiandao_png,huanshirenwu"	"ui_qiandao_png,tongbifuben"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	"0,0"	""	""	""	""	""	""	""	""	""	""	""	""	
