"索引数字ID"	"名称（策划内部使用）"	"显示名称"	"类型0:怪1:npc2:可破坏物件3:静物4:采集物5.护送目标6.多人坐骑7.侍从"	"显示等级"	"初始化数值"	"显示头像"	"怪类型(0=普通怪,1=精英怪,2=稀有怪,3=首领怪,4=超级首领怪)"	"boss血条数"	"称谓"	"是否显示名称"	"是否显示npc/怪物血条该字段优先级大于游戏设置面板中的【显示怪物生命条】"	"是否可见"	"刚体特性.位移"	"选取特性.鼠标"	"选取特性.技能(是否可以被选中攻击目标，即是否无敌）"	"角色模型"	"缩放"	"模型放大的比率"	"移动速度"	"空闲速度"	"尺寸对位"	"技能判断点围绕着怪物进行分布。填100开头的代表两层，1000开头代表有3层"	"普通掉落"	"boss掉落(索引到BossDropConfig表)"	"掉落半径"	"屏蔽世界掉落"	"是否主动攻击"	"初始化阵营"	"ADD距离/静物触发距离"	"ADD数量/静物点击触发技能/采集物采集技能(采集距离和读条时间都由技能控制)"	"ADD延迟/采集物获得物品掉落ID"	"ADD开关（是否需要ADD别人）"	"被ADD开关（可否被ADD）"	"出生时检测是否需被ADD(用于控制怪物出生时是否寻找周围的盟友并触发进入战斗)"	"闲聊"	"交互类型（影响鼠标样式）0，无交互；1，传送门（金色）；2，传送门（蓝色）"	"传送门名称特效"	"角色功能"	"出生动画（对应ActionGroup）"	"死亡表现（对应ActionGroup）"	"死亡方式0=act1=重力"	"死后消失判断（跟刷新挂钩)"	"寿命"	"ai脚本"	"性格（索引到性格表）尽量不要乱填，去性格表里找对应模板"	"能力（索引到能力表）"	"进战斗说话"	"静物默认触发脚本"	"角色功能头顶图标无功能=0有功能=特效图标名称"	"是否被裁剪//当从屏幕外到屏幕内出现问题时多半是这个需要填成false"	"是否在交互中转向"	"场景层"	"DmaDialogShiftX,Y"	"DmaDialogEulerAngleX,Y"	"剧情中特殊的选中"	"是否修正坐标到地面"	"显示受击伤害的偏移"	"自动战斗ai攻击优先级"	"耐久值"	"破甲buff"	"破甲硬直时间"	"破甲普通掉落"	"点击语音"	"拒绝他人光环"	"脚步act"	"选中脚下光圈大小1-5共5档玩家等大=3boss=4超级大=5小动物=1or2"	"模型变色1=蓝色2=紫色3=金色4-橙色其他数字/留空=不变色"	""	""	""	""	""	""	""	""	
"14079"	"机关师2"	"机关师"	"0"	"223"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100003"	"1.000000"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10050"	"1"	"0"	"0"	"1"	"300001"	"40000303"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"0"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14080"	"阵法大师2"	"阵法大师"	"0"	"224"	"3"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100006"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10090"	"1"	"1"	"0"	"1"	"100006"	"40000605"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14081"	"暗道守卫2"	"暗道守卫"	"0"	"225"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100005"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10070"	"0"	"0"	"0"	"1"	"300001"	"40000501"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14082"	"千秋城刺客2"	"千秋城刺客"	"0"	"226"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100003"	"1.000000"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10050"	"1"	"1"	"0"	"1"	"100402"	"40000303"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14083"	"毒雾机关"	"毒雾机关"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5144"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14084"	"毒雾源头"	"源头"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5145"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14085"	"关闭机关"	"关闭机关"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5146"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14086"	"守门人"	"守门人"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200016"	"0.400000"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1335"	"0"	""	"1"	"0"	"10390"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14087"	"守门人"	"守门人"	"0"	"227"	"5"	"leftup_png_all,head_jingyingguai"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200016"	"0.400000"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10390"	"0"	"1"	"0"	"1"	"100008"	"35001700"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14088"	"金甲守卫5"	"千秋城守卫"	"0"	"228"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100015"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10220"	"0"	"0"	"0"	"1"	"100402"	"40001400"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14089"	"北魏刀剑兵5"	"千秋城精兵"	"0"	"229"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100009"	"1.500000"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10150"	"1"	"0"	"0"	"1"	"100402"	"40000901"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14090"	"灵狐1"	"千秋城灵狐"	"0"	"230"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100020"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10320"	"0"	"1"	"0"	"1"	"100402"	"40001801"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14091"	"战狼5"	"千秋城战狼"	"0"	"231"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100002"	"1.200000"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10040"	"0"	"1"	"0"	"1"	"100402"	"40000201"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14092"	"圣女护卫1"	"圣女护卫"	"0"	"232"	"2"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100013"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10200"	"0"	"1"	"0"	"1"	"300001"	"40001201"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14093"	"刘楚玉1"	"刘楚玉"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70002"	"1.000000"	"240.000000"	"5.000000"	"2.000000"	"0.000000"	""	"0"	""	"3.000000"	"1"	"0"	"7"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"1336"	"0"	""	"1"	"0"	"1070"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14094"	"萧逸明8"	"萧逸明"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70027"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1337"	"0"	""	"1"	"0"	"1260"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14095"	"欧阳羽8"	"欧阳羽"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.000000"	"340.000000"	"5.000000"	"3.000000"	"0.000000"	""	"0"	""	"3.000000"	"1"	"0"	"7"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"1338"	"0"	""	"1"	"0"	"1060"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14096"	"纨绔公子3"	"纨绔公子"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"10004"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1339"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14097"	"拂衣教主"	"拂衣教主"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200012"	"0.400000"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1340"	"0"	""	"1"	"0"	"10310"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14098"	"拂衣教主"	"拂衣教主"	"0"	"233"	"5"	"leftup_png_all,head_jingyingguai"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"200012"	"0.400000"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10310"	"0"	"1"	"0"	"1"	"200002"	"35001200"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14099"	"束缚"	"束缚"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5147"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14100"	"千秋使者"	"千秋使者"	"0"	"234"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100021"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10290"	"0"	"0"	"0"	"1"	"100402"	"40002001"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14101"	"机关"	"机关"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5148"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14102"	"猛兽1"	"老虎"	"0"	"237"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100010"	"1.500000"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10160"	"0"	"1"	"0"	"1"	"100402"	"40001001"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14103"	"野猪2"	"野猪"	"0"	"238"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100001"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10000"	"0"	"1"	"0"	"1"	"100402"	"40000101"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14104"	"马贼1"	"马贼"	"0"	"239"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100011"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010060"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10180"	"0"	"0"	"0"	"1"	"100402"	"40001101"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14105"	"守卫1"	"千秋城守卫"	"0"	"240"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100015"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010070"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10220"	"0"	"0"	"0"	"1"	"100402"	"40001400"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14106"	"盗宝小妖1"	"盗宝小妖"	"0"	"241"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100019"	"1"	"340"	"5.000000"	"3"	"0.000000"	""	"1010070"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10300"	"0"	"0"	"0"	"1"	"100402"	"40001900"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14107"	"祭司2"	"千秋城祭司"	"0"	"242"	"1"	"leftup_png_all,head_jingyingguai"	"1"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100006"	"1.500000"	"340"	"5.000000"	"3"	"0.000000"	""	"1010070"	""	"3.000000"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"10090"	"0"	"0"	"0"	"1"	"100402"	"40000603"	""	""	"0"	"1"	"0"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14108"	"包扎伤口"	"包扎伤口"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5149"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14109"	"寻找药物"	"寻找药物"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5150"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14110"	"刘楚玉2"	"刘楚玉"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70002"	"1.000000"	"240.000000"	"5.000000"	"2.000000"	"0.000000"	""	"0"	""	"3.000000"	"1"	"0"	"7"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"1341"	"0"	""	"1"	"0"	"1070"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14111"	"萧逸明9"	"萧逸明"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70027"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1342"	"0"	""	"1"	"0"	"1260"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14112"	"欧阳羽9"	"欧阳羽"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70001"	"1.000000"	"340.000000"	"5.000000"	"3.000000"	"0.000000"	""	"0"	""	"3.000000"	"1"	"0"	"7"	"0.000000"	"0"	"0"	"0"	"0"	"0"	"1343"	"0"	""	"1"	"0"	"1060"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14113"	"纨绔公子4"	"纨绔公子"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"10004"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1344"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14114"	"宗越3"	"宗越"	"1"	"200"	"1"	"leftup_png_all,head_npc"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"70012"	"1"	"240"	"5"	"2"	"0.000000"	""	"0"	""	"3"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1345"	"0"	""	"1"	"0"	"100"	"0"	"1"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"14115"	"找到出口"	"找到出口"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5151"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"14116"	"龙渊剑"	"龙渊剑"	"4"	"1"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"0"	"1"	"1"	"1"	"1"	"1"	"7001"	"1"	"240"	"2"	"2"	"0.000000"	""	"0"	""	"0"	"1"	"0"	"1"	"0"	"101"	"5152"	"1"	"1"	"1"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"2000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"0"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	"1"	""	"3"	""	""	""	""	""	""	""	""	""	
"20000"	"资源本1-占地"	"占地用"	"2"	"10"	"1"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	""	"1.3"	"280"	"4"	"0"	"0.000000"	""	"0"	""	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1083"	"0"	""	"0"	"0"	"1070"	"0"	"20000"	"0"	"0"	"0"	"0"	""	""	"0"	"1"	"1"	"-1"	"0,0"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"20001"	"资源本1-金钱本40"	"银甲守卫"	"0"	"60"	"211"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100014"	"1.200000"	"280"	"5.000000"	"5.000000"	"0.000000"	""	"4040710"	""	"5.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"10210"	"1"	"2000"	"0"	"1"	"300011"	"40001300"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
"20002"	"资源本1-金钱本40"	"金甲守卫"	"0"	"60"	"212"	"leftup_png_all,head_guai"	"0"	""	""	"1"	"1"	"1"	"1"	"1"	"1"	"100015"	"1.300000"	"280"	"5.000000"	"5.000000"	"0.000000"	""	"4040720"	""	"5.000000"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	"0"	"0"	"10220"	"1"	"2000"	"0"	"1"	"300011"	"40001400"	""	""	"0"	"1"	"1"	"-1"	"-60,-150"	"0,0,0"	"0"	"1"	"1.800000"	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	""	
